source_file,source_sheet,source_row,player_name,season,metric_group,check_name,source_value,expected_value,difference,tolerance,issue_flag,severity,reason,action
bexley_stats_spreadsheets.xlsx,1930-31,12,A Glasspool,Summer 1930/31,bowling,bowling_average_reconciliation,28.0,28.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,13,F Griggs,Summer 1930/31,batting,high_score_not_above_total_runs,69.0,276.0,-207.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,13,F Griggs,Summer 1930/31,batting,not_outs_not_above_innings,4.0,20.0,-16.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,13,F Griggs,Summer 1930/31,batting,batting_average_reconciliation,17.25,17.25,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,13,F Griggs,Summer 1930/31,bowling,bowling_average_reconciliation,9.723684211,9.72,0.0037,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,13,F Griggs,Summer 1930/31,bowling,bowling_runs_not_wickets_semantic_check,739.0,9.72,729.28,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,14,F Hurst,Summer 1930/31,batting,high_score_not_above_total_runs,13.0,13.0,0.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,14,F Hurst,Summer 1930/31,batting,not_outs_not_above_innings,1.0,1.0,0.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,14,F Hurst,Summer 1930/31,bowling,high_numerator_zero_wickets,38.0,0,38.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1930-31,15,M Jones,Summer 1930/31,batting,high_score_not_above_total_runs,52.0,274.0,-222.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,15,M Jones,Summer 1930/31,batting,not_outs_not_above_innings,1.0,19.0,-18.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,15,M Jones,Summer 1930/31,batting,batting_average_reconciliation,15.22222222,15.22,0.0022,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,15,M Jones,Summer 1930/31,bowling,bowling_average_reconciliation,16.78181818,16.78,0.0018,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,15,M Jones,Summer 1930/31,bowling,bowling_runs_not_wickets_semantic_check,923.0,16.78,906.22,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,16,L Maltby,Summer 1930/31,batting,high_score_not_above_total_runs,9.0,9.0,0.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,16,L Maltby,Summer 1930/31,bowling,bowling_average_reconciliation,34.0,34.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,17,T O'neill,Summer 1930/31,batting,high_score_not_above_total_runs,18.0,66.0,-48.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,17,T O'neill,Summer 1930/31,batting,not_outs_not_above_innings,2.0,17.0,-15.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,17,T O'neill,Summer 1930/31,batting,batting_average_reconciliation,4.4,4.4,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,17,T O'neill,Summer 1930/31,bowling,bowling_average_reconciliation,14.95652174,14.96,-0.0035,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,17,T O'neill,Summer 1930/31,bowling,bowling_runs_not_wickets_semantic_check,688.0,14.96,673.04,0.15,,,,
